GPU Name,Architecture,DirectX,Cache,Manufacturer,Power Consumption,Memory,Bandwidth,Memory Bus,Clock Speed,Memory Type,Notebook_GPU,Pixel Speed,Process,Release Date,Release Price,TMUs,Texture Rate
Quadro4 550 XGL,NV17 A3 ,8.1,0,Nvidia,0,64 ,64,128,200,DDR,No,1,150,19/02/2002 ,$0.00,4.0,1
Quadro4 780 XGL,NV28 ,8.1,0,Nvidia,0,128 ,128,128,275,DDR,No,1,150,01/11/2002 ,$0.00,8.0,2
Quadro4 900 XGL,NV28GL A2 ,8.1,0,Nvidia,0,128 ,128,128,325,DDR,No,1,150,01/11/2002 ,$0.00,8.0,2
Quadro4 750 XGL,NV25 A2 ,8.1,0,Nvidia,0,128 ,128,128,225,DDR,No,1,150,19/02/2002 ,$0.00,8.0,2
Quadro4 700 XGL,NV25 A2 ,8.1,0,Nvidia,0,64 ,64,128,225,DDR,No,1,150,19/02/2002 ,$0.00,8.0,2
Quadro4 500 XGL,NV17 A3 ,8.1,0,Nvidia,0,128 ,128,128,166,DDR,No,1,150,19/02/2002 ,$0.00,4.0,1
Quadro4 580 XGL,NV18 A4 ,8.1,0,Nvidia,0,64 ,64,128,200,DDR,No,1,150,01/11/2002 ,$0.00,4.0,1
Quadro4 980 XGL,NV28GL A2 ,8.1,0,Nvidia,0,128 ,128,128,325,DDR,No,1,150,01/11/2002 ,$0.00,8.0,2
GeForce4 Ti 4800 SE,NV28 ,8.1,0,Nvidia,0,128 ,128,128,275,DDR,No,1,150,20/01/2003 ,$0.00,8.0,2
Quadro4 380 XGL,NV18 A4 ,8.1,0,Nvidia,0,128 ,128,128,256,DDR,No,1,150,19/02/2002 ,$0.00,4.0,1
GeForce 7950 GX2,G71 ,9.0,,Nvidia,110,1024 ,1024,256,600,GDDR3,No,16,90,01/06/2006 ,$0.00,24.0,24
Radeon 9600 PRO PC/Mac Edition,RV360 ,9.0,0,AMD,0,256 ,256,128,300,DDR,No,2,130,01/08/2005 ,$0.00,4.0,2
Radeon X1050,RV370 ,9.0,0,AMD,24,128 ,128,64,333,DDR2,No,2,110,07/12/2006 ,$0.00,4.0,2
Radeon X1050 256MB,RV410 ,9.0,0,AMD,24,256 ,256,128,333,DDR2,No,3,110,01/12/2006 ,$0.00,8.0,3
Radeon 9800 Pro,R360 ,9.0,0,AMD,47,128 ,128,256,700,DDR2,No,3,150,01/03/2003 ,$0.00,8.0,3
Quadro NVS 285,NV44 A2 ,9.0,0,Nvidia,18,128 ,128,128,275,DDR,No,1,110,06/06/2006 ,$0.00,4.0,1
